                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.8157,                 1.5063,                 1.3621,                0.70604,                0.56785,                0.63617,                0.34292,                 1.7215,                 1.3761,                 1.3486,               0.007789,               0.007789,               0.007789
                     69,                 1.8153,                 1.4972,                 1.3656,                0.70597,                0.56426,                0.63303,                0.34116,                 1.7317,                 1.3655,                 1.3601,               0.007756,               0.007756,               0.007756
                     70,                 1.8132,                 1.4883,                 1.3525,                0.66567,                0.56395,                0.62304,                0.33689,                 1.7237,                 1.3722,                 1.3499,               0.007723,               0.007723,               0.007723
                     71,                 1.8067,                 1.4788,                 1.3566,                0.70354,                0.54864,                0.62758,                0.34329,                 1.7189,                 1.3705,                  1.351,                0.00769,                0.00769,                0.00769
                     72,                  1.812,                  1.499,                 1.3669,                 0.6942,                0.57562,                0.63342,                0.34291,                 1.7251,                 1.3844,                 1.3484,               0.007657,               0.007657,               0.007657
                     73,                 1.8119,                 1.4866,                 1.3626,                0.70837,                0.56007,                0.63859,                0.34906,                 1.7124,                 1.3522,                 1.3466,               0.007624,               0.007624,               0.007624
                     74,                 1.7921,                 1.4517,                 1.3486,                0.69049,                0.56793,                0.62912,                0.33773,                 1.7333,                 1.3589,                 1.3501,               0.007591,               0.007591,               0.007591
                     75,                  1.798,                 1.4626,                 1.3461,                0.71153,                0.58071,                0.63731,                 0.3469,                 1.7108,                 1.3465,                 1.3454,               0.007558,               0.007558,               0.007558
                     76,                 1.7934,                 1.4791,                 1.3569,                0.71838,                0.55552,                 0.6398,                0.35025,                  1.716,                 1.3425,                 1.3458,               0.007525,               0.007525,               0.007525
                     77,                 1.7923,                 1.4561,                 1.3458,                0.72964,                0.56303,                0.64737,                 0.3493,                 1.7241,                 1.3434,                 1.3487,               0.007492,               0.007492,               0.007492
                     78,                 1.7868,                 1.4494,                 1.3525,                0.74134,                0.56255,                0.65221,                 0.3559,                 1.7062,                 1.3337,                 1.3418,               0.007459,               0.007459,               0.007459
                     79,                 1.7838,                 1.4558,                 1.3495,                0.73329,                0.56744,                0.65084,                0.35359,                 1.7281,                 1.3359,                 1.3456,               0.007426,               0.007426,               0.007426
                     80,                 1.7905,                 1.4503,                 1.3429,                 0.7323,                0.56826,                0.64248,                0.35013,                 1.7206,                 1.3394,                 1.3459,               0.007393,               0.007393,               0.007393
                     81,                 1.7827,                 1.4517,                 1.3472,                0.74231,                0.56276,                0.65046,                0.35594,                  1.714,                 1.3289,                 1.3394,                0.00736,                0.00736,                0.00736
                     82,                 1.7828,                 1.4423,                 1.3449,                0.72461,                0.56868,                0.64604,                0.35703,                 1.6948,                 1.3343,                  1.338,               0.007327,               0.007327,               0.007327
                     83,                 1.7845,                 1.4407,                 1.3426,                0.72479,                0.57248,                0.65113,                0.35864,                 1.7025,                 1.3263,                 1.3395,               0.007294,               0.007294,               0.007294
                     84,                 1.7846,                 1.4418,                 1.3458,                0.72226,                0.58532,                0.65386,                0.35463,                 1.7157,                 1.3309,                 1.3438,               0.007261,               0.007261,               0.007261
