epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,6438.84,1.71573,1.35557,1.31142,0.76517,0.60072,0.68735,0.39408,1.63185,1.25546,1.30532,0.006799,0.006799,0.006799
99,6502.86,1.70179,1.342,1.30007,0.77229,0.60461,0.69041,0.39594,1.63778,1.25025,1.30546,0.006766,0.006766,0.006766
100,6565.64,1.70621,1.35347,1.30069,0.75715,0.60664,0.68744,0.39227,1.64346,1.2486,1.30704,0.006733,0.006733,0.006733
101,6628.51,1.704,1.35011,1.29989,0.78321,0.59141,0.69157,0.39522,1.63554,1.2434,1.30168,0.0067,0.0067,0.0067
102,6691.34,1.70707,1.34658,1.29912,0.78901,0.59991,0.69541,0.3965,1.64241,1.24714,1.30668,0.006667,0.006667,0.006667
103,6754.14,1.68912,1.33232,1.29036,0.78374,0.6022,0.69481,0.39857,1.63645,1.24159,1.30517,0.006634,0.006634,0.006634
104,6816.89,1.7005,1.33754,1.30114,0.78515,0.60911,0.70086,0.40257,1.63188,1.23373,1.30319,0.006601,0.006601,0.006601
105,6879.83,1.68543,1.32404,1.29788,0.79386,0.60185,0.70046,0.40007,1.62811,1.22726,1.30385,0.006568,0.006568,0.006568
106,6943.02,1.68115,1.32176,1.292,0.7922,0.60338,0.69605,0.39923,1.62495,1.22313,1.30109,0.006535,0.006535,0.006535
107,7006.19,1.68038,1.31009,1.28684,0.79236,0.60588,0.70148,0.40273,1.62381,1.21979,1.29932,0.006502,0.006502,0.006502
108,7069.22,1.68504,1.31212,1.28968,0.80585,0.61152,0.70245,0.40355,1.62333,1.22153,1.29823,0.006469,0.006469,0.006469
109,7132.12,1.68806,1.31758,1.29285,0.80018,0.60893,0.70116,0.4047,1.6259,1.22353,1.30075,0.006436,0.006436,0.006436
110,7195.02,1.6922,1.32604,1.29644,0.79702,0.61117,0.70106,0.40426,1.62569,1.21616,1.30078,0.006403,0.006403,0.006403
111,7257.87,1.68658,1.32115,1.29275,0.78701,0.60615,0.7012,0.40494,1.61721,1.21509,1.29881,0.00637,0.00637,0.00637
112,7320.66,1.6768,1.30494,1.29104,0.78572,0.60418,0.7015,0.40615,1.62063,1.22124,1.29714,0.006337,0.006337,0.006337
