                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.7966,                 1.4397,                  1.372,                0.78637,                0.58745,                0.67128,                 0.3636,                 1.7582,                 1.3652,                 1.3882,               0.007888,               0.007888,               0.007888
                     66,                 1.7861,                 1.4506,                 1.3684,                0.76215,                0.56478,                0.66538,                  0.359,                 1.7521,                 1.3781,                 1.3843,               0.007855,               0.007855,               0.007855
                     67,                 1.7838,                 1.4389,                 1.3659,                0.76577,                0.58109,                0.67654,                0.36714,                 1.7374,                 1.3579,                 1.3795,               0.007822,               0.007822,               0.007822
                     68,                 1.7813,                 1.4346,                 1.3613,                 0.7232,                0.58892,                 0.6652,                0.36083,                  1.737,                 1.3716,                 1.3766,               0.007789,               0.007789,               0.007789
                     69,                 1.7672,                 1.4288,                 1.3607,                0.74703,                 0.5893,                0.66671,                0.36208,                   1.74,                 1.3714,                 1.3804,               0.007756,               0.007756,               0.007756
                     70,                 1.7826,                 1.4302,                 1.3534,                0.74647,                0.59545,                0.67424,                0.36887,                 1.7474,                 1.3446,                  1.378,               0.007723,               0.007723,               0.007723
                     71,                 1.7684,                 1.4089,                 1.3538,                0.74795,                0.58399,                0.66648,                0.36545,                 1.7288,                 1.3566,                 1.3705,                0.00769,                0.00769,                0.00769
                     72,                 1.7722,                 1.4338,                 1.3682,                0.74901,                0.58725,                0.66698,                 0.3691,                 1.7308,                 1.3524,                 1.3742,               0.007657,               0.007657,               0.007657
                     73,                 1.7755,                 1.4189,                 1.3625,                0.73678,                0.59401,                0.67984,                0.37069,                 1.7383,                 1.3425,                  1.376,               0.007624,               0.007624,               0.007624
                     74,                 1.7494,                 1.3884,                 1.3446,                0.75016,                0.59981,                0.68179,                0.37854,                 1.7248,                 1.3333,                 1.3726,               0.007591,               0.007591,               0.007591
                     75,                 1.7606,                 1.4005,                 1.3437,                0.76156,                0.60755,                0.68589,                 0.3799,                 1.7193,                 1.3161,                 1.3778,               0.007558,               0.007558,               0.007558
                     76,                 1.7622,                 1.4113,                 1.3594,                0.73593,                0.61289,                0.68662,                 0.3793,                 1.7322,                 1.3304,                 1.3752,               0.007525,               0.007525,               0.007525
                     77,                 1.7581,                 1.3946,                 1.3488,                0.75144,                0.60518,                0.69049,                 0.3765,                 1.7467,                 1.3227,                 1.3866,               0.007492,               0.007492,               0.007492
                     78,                 1.7534,                 1.3876,                 1.3533,                0.76384,                0.59878,                0.68768,                0.38063,                 1.7283,                  1.313,                 1.3671,               0.007459,               0.007459,               0.007459
                     79,                 1.7368,                 1.3812,                 1.3441,                0.77105,                0.59513,                0.68774,                0.38055,                 1.7222,                 1.3192,                 1.3681,               0.007426,               0.007426,               0.007426
                     80,                 1.7477,                 1.3794,                 1.3428,                 0.7805,                0.59861,                0.69185,                0.38095,                 1.7285,                  1.311,                 1.3753,               0.007393,               0.007393,               0.007393
                     81,                 1.7408,                 1.3781,                  1.342,                0.75407,                0.60926,                0.69343,                0.38109,                 1.7301,                 1.3073,                 1.3752,                0.00736,                0.00736,                0.00736
                     82,                 1.7379,                 1.3689,                 1.3371,                0.76161,                0.60347,                0.69201,                0.38059,                 1.7323,                 1.3072,                 1.3764,               0.007327,               0.007327,               0.007327
                     83,                 1.7367,                 1.3744,                 1.3344,                0.77374,                0.60726,                0.69744,                0.38276,                 1.7297,                 1.3091,                 1.3765,               0.007294,               0.007294,               0.007294
                     84,                 1.7353,                 1.3773,                 1.3376,                0.77099,                0.60494,                0.69737,                0.38357,                  1.719,                 1.2961,                 1.3702,               0.007261,               0.007261,               0.007261
                     85,                 1.7441,                 1.3837,                 1.3329,                0.78183,                0.60607,                0.69989,                0.38508,                 1.7172,                 1.3013,                 1.3636,               0.007228,               0.007228,               0.007228
                     86,                 1.7337,                 1.3707,                 1.3363,                0.78594,                0.60616,                0.70213,                0.38709,                 1.7099,                 1.2902,                 1.3661,               0.007195,               0.007195,               0.007195
                     87,                 1.7402,                 1.3661,                  1.338,                 0.7766,                0.60146,                0.70237,                0.39244,                 1.7173,                 1.2854,                 1.3667,               0.007162,               0.007162,               0.007162
                     88,                 1.7381,                 1.3654,                 1.3336,                0.78348,                0.61244,                0.70687,                0.39036,                 1.7082,                 1.2848,                 1.3677,               0.007129,               0.007129,               0.007129
                     89,                 1.7382,                 1.3743,                 1.3346,                0.77431,                0.61178,                0.70852,                0.39306,                 1.7119,                 1.2899,                 1.3614,               0.007096,               0.007096,               0.007096
                     90,                 1.7142,                 1.3443,                 1.3251,                 0.7802,                0.61551,                0.70615,                0.39136,                 1.7164,                 1.2886,                 1.3623,               0.007063,               0.007063,               0.007063
                     91,                 1.7181,                 1.3541,                 1.3314,                0.75416,                0.61899,                0.70589,                0.39272,                 1.7055,                 1.2952,                 1.3648,                0.00703,                0.00703,                0.00703
                     92,                 1.7333,                 1.3591,                 1.3378,                0.75632,                0.62388,                 0.7022,                0.39077,                 1.7006,                 1.2994,                  1.357,               0.006997,               0.006997,               0.006997
                     93,                 1.7159,                 1.3472,                 1.3259,                0.80109,                0.60323,                0.70256,                0.39261,                 1.6968,                 1.2901,                 1.3546,               0.006964,               0.006964,               0.006964
                     94,                 1.7131,                 1.3432,                 1.3319,                0.76647,                0.61659,                0.70754,                0.39869,                 1.7007,                 1.2814,                 1.3552,               0.006931,               0.006931,               0.006931
